id,ruta,lon,lat
341,CORREGIDORA,-100.3857225,20.627278843
342,CORREGIDORA,-100.385433,20.627028799
343,CORREGIDORA,-100.3853904,20.626708234
344,CORREGIDORA,-100.3859871,20.626306272
345,CORREGIDORA,-100.3867144,20.625944867
346,CORREGIDORA,-100.3884474,20.624966195
347,CORREGIDORA,-100.3888258,20.624626749
348,CORREGIDORA,-100.3894835,20.623787946
349,CORREGIDORA,-100.3900678,20.622747855
350,CORREGIDORA,-100.3901392,20.621973317
351,CORREGIDORA,-100.3900939,20.619716127
352,CORREGIDORA,-100.3900548,20.617411530
353,CORREGIDORA,-100.3898795,20.615492771
354,CORREGIDORA,-100.3887983,20.613988606
355,CORREGIDORA,-100.3881144,20.612982913
356,CORREGIDORA,-100.3874366,20.611610896
357,CORREGIDORA,-100.3870993,20.610815705
358,CORREGIDORA,-100.3871755,20.610379716
359,CORREGIDORA,-100.3871049,20.610073363
360,CORREGIDORA,-100.3868957,20.609847223
361,CORREGIDORA,-100.3866552,20.609863556
362,CORREGIDORA,-100.386119,20.608769213
363,CORREGIDORA,-100.3859199,20.608225252
364,CORREGIDORA,-100.3872545,20.606934165
365,CORREGIDORA,-100.390274,20.604834615
366,CORREGIDORA,-100.3921918,20.603396828
367,CORREGIDORA,-100.3933394,20.602603049
368,CORREGIDORA,-100.3936914,20.602103694
369,CORREGIDORA,-100.3938822,20.601567766
370,CORREGIDORA,-100.3938214,20.599338683
371,CORREGIDORA,-100.3938146,20.598929188
372,CORREGIDORA,-100.3936521,20.598806459
373,CORREGIDORA,-100.3937408,20.598555013
374,CORREGIDORA,-100.3931165,20.596945252
375,CORREGIDORA,-100.3920805,20.593975269
376,CORREGIDORA,-100.3878814,20.583753316
377,CORREGIDORA,-100.3870746,20.581482094
378,CORREGIDORA,-100.3860373,20.578779120
379,CORREGIDORA,-100.3853432,20.576938803
380,CORREGIDORA,-100.3845012,20.574950457
381,CORREGIDORA,-100.3849374,20.574615352
382,CORREGIDORA,-100.385604,20.574454945
383,CORREGIDORA,-100.3859609,20.574014835
384,CORREGIDORA,-100.3857351,20.573490318
385,CORREGIDORA,-100.3846665,20.570741480
386,CORREGIDORA,-100.3830234,20.568759504
387,CORREGIDORA,-100.3832253,20.557365039
388,CORREGIDORA,-100.3837349,20.543312249
389,SANTAMARIA,-100.4333694,20.589902438
